id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	alm k. (2022)	"<table><tr><td>Authors:</td><td>alm k.; beery t.h.; eiblmeier d.; fahmy t.</td></tr><tr><td>Title:</td><td>students’ learning sustainability – implicit, explicit or non-existent: a case study approach on students’ key competencies addressing the sdgs in hei program</td></tr><tr><td>Source:</td><td>international journal of sustainability in higher education, 23(8), 60-84</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1108/ijshe-12-2020-0484	0.7611	-0.0492	1	4	1	2.8333	2022	1	2.8333
7	škrinjarić b. (2022)	"<table><tr><td>Authors:</td><td>škrinjarić b.</td></tr><tr><td>Title:</td><td>competence-based approaches in organizational and individual context</td></tr><tr><td>Source:</td><td>humanities and social sciences communications, 9(1)</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1057/s41599-022-01047-1	0.6201	0.2079	4	5	0	0	2022	0	0
10	leal m.s. (2022)	"<table><tr><td>Authors:</td><td>leal m.s.; gómez m.l.o.; toma r.b.</td></tr><tr><td>Title:</td><td>conceptual construction of global competence in education</td></tr><tr><td>Source:</td><td>teoria de la educacion, 34(1), 83-103</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.14201/teri.25394	-0.3718	0.2822	3	1	0	0	2022	0	0
11	birdman j. (2022)	"<table><tr><td>Authors:</td><td>birdman j.; wiek a.; lang d.j.</td></tr><tr><td>Title:</td><td>developing key competencies in sustainability through project-based learning in graduate sustainability programs</td></tr><tr><td>Source:</td><td>international journal of sustainability in higher education, 23(5), 1139-1157</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1108/ijshe-12-2020-0506	0.806	-0.1802	1	5	1	2.8333	2022	1	2.8333
12	venn r. (2022)	"<table><tr><td>Authors:</td><td>venn r.; perez p.; vandenbussche v.</td></tr><tr><td>Title:</td><td>competencies of sustainability professionals: an empirical study on key competencies for sustainability</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 14(9)</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.3390/su14094916	0.7053	-0.0819	1	6	0	0	2022	0	0
13	van der baan n. (2022)	"<table><tr><td>Authors:</td><td>van der baan n.; gast i.; gijselaers w.; beausaert s.</td></tr><tr><td>Title:</td><td>coaching to prepare students for their school-to-work transition: conceptualizing core coaching competences</td></tr><tr><td>Source:</td><td>education and training, 64(3), 398-415</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1108/et-11-2020-0341	-0.2233	-0.1196	4	2	0	0	2022	0	0
15	ryan b. (2022)	"<table><tr><td>Authors:</td><td>ryan b.; johnston k.; taylor m.</td></tr><tr><td>Title:</td><td>recognising and measuring competency in natural hazard preparation: a preparedness competency index</td></tr><tr><td>Source:</td><td>international journal of disaster risk reduction, 73</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1016/j.ijdrr.2022.102882	0.7996	-0.0699	1	1	0	0	2022	0	0
17	nissilä s.-p. (2022)	"<table><tr><td>Authors:</td><td>nissilä s.-p.; karjalainen a.; koukkari m.</td></tr><tr><td>Title:</td><td>it is the shared aims, trust and compassion that allow people to prosper: teacher educators´ lifelong learning in competence-based education</td></tr><tr><td>Source:</td><td>european journal of educational research, 11(2), 965-980</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.12973/eu-jer.11.2.965	-1.2668	-0.0861	2	1	0	0	2022	0	0
20	zwolińska k. (2022)	"<table><tr><td>Authors:</td><td>zwolińska k.; lorenc s.; pomykała r.</td></tr><tr><td>Title:</td><td>sustainable development in education from students’ perspective—implementation of sustainable development in curricula</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 14(6)</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.3390/su14063398	0.7253	-0.0198	1	1	0	0	2022	0	0
23	aleksić a. (2022)	"<table><tr><td>Authors:</td><td>aleksić a.; nestić s.; huber m.; ljepava n.</td></tr><tr><td>Title:</td><td>the assessment of the key competences for lifelong learning—the fuzzy model approach for sustainable education</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 14(5)</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.3390/su14052686	0.9044	0.1485	1	1	0	0	2022	0	0
31	de la torre e.m. (2022)	"<table><tr><td>Authors:</td><td>de la torre e.m.; perez-encinas a.; gomez-mediavilla g.</td></tr><tr><td>Title:</td><td>fostering sustainability through mobility knowledge, skills, and attitudes</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 14(3)</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.3390/su14031349	0.8831	0.0946	1	3	3	8.5	2022	3	8.5
33	platts e.j. (2022)	"<table><tr><td>Authors:</td><td>platts e.j.; kerner b.; adams n.; archer j.-m.</td></tr><tr><td>Title:</td><td>few and far between: rebalancing research and training priorities at the food-energy-water nexus</td></tr><tr><td>Source:</td><td>science and education</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1007/s11191-022-00344-0	0.9661	-0.151	1	2	0	0	2022	0	0
35	tarekegne c. (2022)	"<table><tr><td>Authors:</td><td>tarekegne c.; wesselink r.; biemans h.j.a.; mulder m.</td></tr><tr><td>Title:</td><td>effectiveness of a competence-based planting support training programme for development agents in ethiopia</td></tr><tr><td>Source:</td><td>international journal of training and development</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1111/ijtd.12265	-0.9112	-0.1514	2	5	0	0	2022	0	0
36	xiang x. (2022)	"<table><tr><td>Authors:</td><td>xiang x.; chen y.; fang y.; zhang q.</td></tr><tr><td>Title:</td><td>how key competencies progress across school terms? a study of “activities” in geography textbooks for secondary schools</td></tr><tr><td>Source:</td><td>journal of geography, 121(2), 67-76</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1080/00221341.2022.2052936	0.4968	0.0727	3	2	0	0	2022	0	0
