Publication Type,AU,BA,Book Editors,GP,Author Full Names,Book Author Full Names,CA,Article Title,Source Title,SE,BS,LA,DT,CT,CY,CL,Conference Sponsor,HO,DE,Keywords Plus,AB,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,FX,CR,NR,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,PU,PI,PA,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,PD,Publication Year,VL,IS,PN,SU,SI,MA,Start Page,End Page,AR,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,SC,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID)
J,"Tahirsylaj, A; Fazliu, F",,,,"Tahirsylaj, Armend; Fazliu, Fitore",,,From Content- to Competence-Based Curricula - An Educational Account of Curriculum Policy in Kosovo,EUROPEAN EDUCATION,,,,Article,,,,,,,KEY COMPETENCES,"This qualitative study examines the changes introduced in curriculum policy in Kosovo in the latest curriculum reform of 2011. Framed by curriculum and didaktik education traditions theoretically, the findings reveal that introduction of key competences and associated learning outcomes in 2011 marked the most substantial departure from the previously content-based curriculum policy in place. It is concluded that European education trends provided the macro narrative and legitimation for the 2011 competence-based curriculum reform in Kosovo.",,,,,,,,,,,46,0,0,,,,,,,,,,,JAN 2,2021,53.0,1,,,,,1,14,,10.1080/10564934.2021.1971541,,SEP 2021,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000702192800001
J,"KNOTT, B",,,,"KNOTT, B",,,WHAT IS A COMPETENCE-BASED CURRICULUM IN LIBERAL ARTS,JOURNAL OF HIGHER EDUCATION,,,,Article,,,,,,,,,,,,,,,,,,,14,4,4,,,,,,,,,,,,1975,46.0,1,,,,,25,40,,10.2307/1980920,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:A1975V807200003
J,"Donet, FB; Pallares, AA; Burillo, SB",,,,"Donet, Francesc Busca; Pallares, Alba Ambros; Burillo, Silvia Burset",,,Bibliometric characteristics of articles on key competences indexed in ERIC from 1990 to 2013,EUROPEAN JOURNAL OF TEACHER EDUCATION,,,,Article,,,,,,Key competences; competence-based education; competence-based curricula,EDUCATION; CURRICULUM; POLICY; EUROPE,"This paper analyses the bibliometric characteristics of 616 journal articles on key competences indexed in ERIC in a 23-year-period following documentary analysis. This observation method allowed us to highlight key elements like the population, educational level, topics, etc. to focus whether this literature contributes towards implementing competence-based education. The findings of key competencebased articles confirm that competence discourse in education has become a highly rated topic of debate from 1999 to 2013. In the two last decades, there has been a gradual increase in articles based on research combined with a decline in articles of a descriptive nature. The main contributions of articles on competency-based education are significantly in line with topics related to reflection on competence discourse and education policies that should be implemented. There is still a clear need for publications which provide examples and empirical evidence aimed at developing basic competences.",,,,,,,,,,,46,1,1,,,,,,,,,,,,2017,40.0,2,,,,,144,156,,10.1080/02619768.2017.1281908,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000396820900002
J,"den Hertog, R; Boshuizen, HPA",,,,"den Hertog, Ria; Boshuizen, Henny P. A.",,,Learning Professional Knowledge: Bachelor Nursing Students' Experiences in Learning and Knowledge Quality Outcomes in a Competence-Based Curriculum,VOCATIONS AND LEARNING,,,,Article,,,,,,Bachelor nursing students; Theory-practice gap; Competence-based curriculum; Learning experiences; Authentic contexts; Self-directed learning,SOCIAL-WORK STUDENTS; THEORETICAL KNOWLEDGE; VOCATIONAL-EDUCATION; PRACTICE GAP,"Since decades, nursing education struggles with a persistent gap between the theoretical knowledge offered in the study program and its application in professional practice. To bridge this gap competence-based curricula were developed with instructional designs as authentic learning contexts and self-directed learning. In this project we explored final year Bachelor Nursing (BN) students' experiences in learning in a newly developed curriculum, and their knowledge quality outcomes and the degree of agreement with knowledge requirements. An instrumental multiple case study was conducted with interviews, concept mapping and a domain knowledge list. Results show that a third of the participants had positive learning experiences and got high appraisals for their knowledge quality. Similar to the medium and low scoring participants, they developed instrumental knowledge but integrated other forms of learning into a system of meaning, which is needed to solve non-routine problems in future practice. Medium and low scoring participants did not profit from learning in authentic contexts and self-directed learning. In conclusion, developing sufficient professional knowledge in a constructivist competence-based curriculum is influenced by students' intrinsic motivation to build a strong knowledge base, by their perception of how to learn and use professional knowledge, and their expectations of the degree of supervision and guidance by the teacher. It is recommended to evaluate the extent to which the intended curriculum is being taught.",,,,,,,,,,,59,0,0,,,,,,,,,,,APR,2022,15.0,1,,,,,21,47,,10.1007/s12186-021-09274-4,,SEP 2021,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000697077200001
J,"Garcia-Lopez, LM; Gutierrez, D; Pastor, JC; Romo, V",,,,"Garcia-Lopez, Luis M.; Gutierrez, David; Carlos Pastor, Juan; Romo, Vicente",,,Validity and reliability of a questionnaire on primary and secondary school teachers' perception of teaching a competence-based curriculum model,JOURNAL OF NEW APPROACHES IN EDUCATIONAL RESEARCH,,,,Article,,,,,,VALIDITY; RELIABILITY; QUESTIONNAIRE; TEACHER; COMPETENCE,,"The aim of this study is to develop a scale to measure primary and secondary school teachers' perception of a competence-based curriculum model in Spain. After reviewing the literature, we designed an initial questionnaire with 37 five-point Likert-type items. This was then reviewed by a panel of experts. A pilot test was conducted with 100 participants using exploratory factor analysis. This resulted in a final scale with 23 items across five factors (beliefs about the theoretical model, level of implementation of the model, difficulties in implementing the model, resources and professional development). To verify, using new data, the level of fit of the measurement model generated by the first sample, we conducted an exploratory factor analysis, and, subsequently, a confirmatory factor analysis with structural equations on a sample of 1408 respondents. Acceptable levels of internal consistency and model fit were obtained. The result is a scale which is rapidly and easily administered. It demonstrates good criterion validity in explaining teachers' beliefs about the competence-based curriculum model, and thus reveals teachers' perceptions of the impact of this curricular reform.",,,,,,,,,,,15,6,6,,,,,,,,,,,JAN,2018,7.0,1,,,,,46,51,,10.7821/naer.2018.1.255,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000428723900008
J,"Tahirsylaj, A; Wahlstrom, N",,,,"Tahirsylaj, Armend; Wahlstrom, Ninni",,,Role of transnational and national education policies in realisation of critical thinking: the cases of Sweden and Kosovo,CURRICULUM JOURNAL,,,,Article,,,,,,Competence-based curricula; critical thinking; transnational education policies; teacher education; mother tongue; Sweden; Kosovo,CURRICULUM,"Against the backdrop of the push from the European Commission and the Organisation for Economic Cooperation and Development for competence-based curricula, this article problematises the complexity of developing twenty-first century skills, such as critical thinking, by addressing the role transnational and national policy contexts play in realising critical thinking in the national contexts of Sweden and Kosovo. The article distinguishes between policy-critical thinking and civic-critical thinking. Relying on analyses of curriculum and policy documents, it is concluded that while in the Swedish context critical thinking competence (or ability) seems to be much more implicit than explicit, in Kosovo, the national curriculum makes explicit references to thinking competences as a form of policy-critical thinking and civic competencies as a form of civic-critical thinking. Thus, students in both contexts have opportunities to develop critical thinking skills. Furthermore, Sweden emerges as a divergent case and Kosovo as a convergent case with regard to transnational policy flow research paradigms.",,,,,,,,,,,43,4,4,,,,,,,,,,,OCT 2,2019,30.0,4,,,,,484,503,,10.1080/09585176.2019.1615523,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000498044600008
J,"Tahirsylaj, A",,,,"Tahirsylaj, Armend",,,What kind of citizens? Constructing 'Young Europeans' through loud borrowing in curriculum policy-making in Kosovo,COMPARATIVE EDUCATION,,,,Article,,,,,,Competence-based education; civic competences; loud borrowing; curriculum policy-making; Kosovo; European Commission,EDUCATION; CONTEXTS,"Kosovo introduced two major curriculum reforms over the past 20 years - in 2001 and 2011 - each aiming to bring education closer to international trends. Simultaneously, Kosovo underwent major political, social, and cultural changes after the war in 1999, and the declaration of independence in 2008. This article relies on document analysis and uses civic competences definitions in Kosovo and European Commission frameworks to compare conceptions of citizenship for democratic life along three theoretical constructs, namely personally responsible/individualist, participatory/social, and justice-oriented/political. It coins loud borrowing to describe the policy flow into Kosovo education, specifically focusing on the latest 2011 competence-based curriculum reform. The findings show that Kosovo's curriculum alignment with the European Commission key competence approach in 2011 served larger political goals and aspirations to brand Kosovars as 'Young Europeans.' In addition, personally responsible/individualist conception and participatory/social conception of citizenship are dominant in Kosovo, as well as in European Commission frameworks.",,,,,,,,,,,33,4,4,,,,,,,,,,,JAN 2,2021,57.0,1,,,SI,,115,129,,10.1080/03050068.2020.1845066,,DEC 2020,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000599656200001
J,"Gil, JMS; Petry, PP",,,,"Sancho Gil, Juana M.; Padilla Petry, Paulo",,,Promoting digital competence in secondary education: are schools there? Insights from a case study,JOURNAL OF NEW APPROACHES IN EDUCATIONAL RESEARCH,,,,Article,,,,,,INFORMATION PROCESSING; TECHNOLOGY USES IN EDUCATION; SECONDARY SCHOOL; TEACHING METHODS; EDUCATIONAL POLICY; DIGITAL COMPETENCE; TRANSVERSAL COMPETENCE,,"In recent years, a large number of educational systems, following the recommendations of international organisations, have introduced a competence-based emphasis into their traditionally subject-based curriculum. This move, beyond what any document can deal with, does not seem to find its way into everyday school practice easily or with instant results. This paper explores encounters and clashes between policy and practice regarding a competence-based curriculum framework. We refer firstly to the notions about information processing and digital competence held by international organisations and the Spanish and Catalan Ministry of Education, and the implications of said notions for teaching. Then, from evidence collected through class observations, interviews with students and teachers, and documents analysis in a case study, we draw on four teaching and learning scenarios where ICT is regularly used. Promoting students' digital competence is one of the key competences prescribed in the curriculum; however, our study showed that the backgrounds and educational views of teachers, as well as the teaching culture and organisation of schools, should be deeply challenged to foster this competence.",,,,,,,,,,,29,17,18,,,,,,,,,,,JAN,2016,5.0,1,,,,,57,63,,10.7821/naer.2016.1.157,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000382830000010
J,"Huang, XD",,,,"Huang, Xiaodong",,,Aims for cultivating students' key competencies based on artificial intelligence education in China,EDUCATION AND INFORMATION TECHNOLOGIES,,,,Article,,,,,,Artificial intelligence education; Students&#8217; key competencies; Artificial intelligence curriculum; Fundamental education,,"Cultivating students' key competencies contributes to students' adaptation to the fast developing intelligent era. Artificial intelligence education is an important way to cultivate students' key competencies. It is increasingly important to set up appropriate artificial intelligence courses at the fundamental education stage and cultivate students' key competencies via such courses. This paper describes quantitatively how AI courses cultivate students' key competencies. First, we analyze the necessity of artificial intelligence education at the fundamental education stage and the status quo of artificial intelligence education in China. Next, we elaborate the students' key competencies which is composed of knowledge competence, team competence and learning competence, and design the curriculum of artificial intelligence at the fundamental education stage. Finally, through collecting students' questionnaires, we analyze the relationship between the curriculum of artificial intelligence and the cultivation of students' key competencies. Experimental evaluations demonstrate that the 7 categories of artificial intelligence courses are beneficial to the cultivation of the six key sub-competencies of students. In addition, the problems in the current artificial intelligence curriculum are identified and suggestions for improvement are put forward.",,,,,,,,,,,17,1,1,,,,,,,,,,,SEP,2021,26.0,5,,,,,5127,5147,,10.1007/s10639-021-10530-2,,APR 2021,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000636925000001
J,"Hong, WP",,,,"Hong, Won-Pyo",,,An international study of the changing nature and role of school curricula: from transmitting content knowledge to developing students' key competencies,ASIA PACIFIC EDUCATION REVIEW,,,,Article,,,,,,Key competencies; Curriculum; Competency-based curriculum; South Korea; New Zealand; Australia,,"The primary purpose of this study is to investigate how key competencies can be incorporated into school curricula, what relevant instructional methods are needed and what institutional support is required to make school curricula based more on key competencies. For this, the study uses qualitative data from three schools (one each in South Korea, Australia, and New Zealand). The results indicate that a transformative approach, not an additive approach, is required. That is, teachers tend to restructure existing curricula to develop students' key competencies instead of considering the latter as a new teaching component. In terms of instructional methods, teachers are likely to believe that more engaging and participatory instructional methods would help their students to practice and develop diverse aspects of their competencies. Further, the principal's efforts to enhance communication and interaction with teachers is crucial to constructing local definitions of key competencies and shared visions for integrating such competencies with school curricula and instruction. The results indicate a need for redirecting the role of school curricula from transmitting content knowledge of academic subjects to developing students' key competencies.",,,,,,,,,,,47,10,10,,,,,,,,,,,MAR,2012,13.0,1,,,,,27,37,,10.1007/s12564-011-9171-z,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000305127600003
J,"Halasz, G; Michel, A",,,,"Halasz, Gabor; Michel, Alain",,,"Key Competences in Europe: interpretation, policy formulation and implementation",EUROPEAN JOURNAL OF EDUCATION,,,,Article,,,,,,,,,,,,,,,,,,,32,116,121,,,,,,,,,,,SEP,2011,46.0,3,,,,,289,306,,10.1111/j.1465-3435.2011.01491.x,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000294533400002
J,"Deng, L; Peng, ZM",,,,"Deng, Li; Peng, Zhengmei",,,Moral priority or skill priority: a comparative analysis of key competencies frameworks in China and the United States,COMPARATIVE EDUCATION,,,,Article,,,,,,Key competencies; 21st century skills; moral priority; skill priority; global competition,,"China and the US have responded to the challenges of a knowledge-based society, technological advancement, and global competition by implementing educational reforms to impart skills or competencies required of 21st century students. This study compares the rationales, content, and curricula design of both countries' key competencies frameworks and explores the possibility of reciprocal learning. Although their frameworks have certain similarities, significant differences have arisen due to cultural factors. The Chinese framework follows the Confucian tradition, emphasising moral education, political inclinations, transferring general competencies to specific-subject ones, and integrating key competencies in the national curriculum. The US framework follows the pragmatic tradition, emphasising generic skills and economic needs. Some US states have attempted to revise curriculum standards or incorporate 21st century skills by identifying their alignment with Common Core State Standards. Both frameworks have deficiencies and face challenges in implementation, and they can learn from each other.",,,,,,,,,,,70,3,3,,,,,,,,,,,JAN 2,2021,57.0,1,,,SI,,83,98,,10.1080/03050068.2020.1845063,,NOV 2020,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000596999300001
