id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	tahirsylaj (2021a)	"<table><tr><td>Authors:</td><td>tahirsylaj, armend; fazliu, fitore</td></tr><tr><td>Title:</td><td>from content- to competence-based curricula - an educational account of curriculum policy in kosovo</td></tr><tr><td>Source:</td><td>european education, 53(1), 1-14</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1080/10564934.2021.1971541	-0.2667	0.1261	1	4	0	0	2021	0	0
3	donet (2017)	"<table><tr><td>Authors:</td><td>donet, francesc busca; pallares, alba ambros; burillo, silvia burset</td></tr><tr><td>Title:</td><td>bibliometric characteristics of articles on key competences indexed in eric from 1990 to 2013</td></tr><tr><td>Source:</td><td>european journal of teacher education, 40(2), 144-156</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1080/02619768.2017.1281908	-0.3874	0.1223	1	5	1	0.1429	2017	1	0.1429
5	garcia-lopez (2018)	"<table><tr><td>Authors:</td><td>garcia-lopez, luis m.; gutierrez, david; carlos pastor, juan; romo, vicente</td></tr><tr><td>Title:</td><td>validity and reliability of a questionnaire on primary and secondary school teachers' perception of teaching a competence-based curriculum model</td></tr><tr><td>Source:</td><td>journal of new approaches in educational research, 7(1), 46-51</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.7821/naer.2018.1.255	-0.4043	0.0855	1	3	6	0.6947	2018	6	0.6947
6	tahirsylaj (2019)	"<table><tr><td>Authors:</td><td>tahirsylaj, armend; wahlstrom, ninni</td></tr><tr><td>Title:</td><td>role of transnational and national education policies in realisation of critical thinking: the cases of sweden and kosovo</td></tr><tr><td>Source:</td><td>curriculum journal, 30(4), 484-503</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1080/09585176.2019.1615523	-0.2978	0.1401	1	3	4	0.8043	2019	4	0.8043
7	tahirsylaj (2021b)	"<table><tr><td>Authors:</td><td>tahirsylaj, armend</td></tr><tr><td>Title:</td><td>what kind of citizens? constructing 'young europeans' through loud borrowing in curriculum policy-making in kosovo</td></tr><tr><td>Source:</td><td>comparative education, 57(1), 115-129</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1080/03050068.2020.1845066	-0.2612	0.1571	1	2	4	2.8148	2021	4	2.8148
10	halasz (2011)	"<table><tr><td>Authors:</td><td>halasz, gabor; michel, alain</td></tr><tr><td>Title:</td><td>key competences in europe: interpretation, policy formulation and implementation</td></tr><tr><td>Source:</td><td>european journal of education, 46(3), 289-306</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1111/j.1465-3435.2011.01491.x	-0.2699	0.0253	1	18	116	3.2312	2011	116	3.2312
11	deng (2021)	"<table><tr><td>Authors:</td><td>deng, li; peng, zhengmei</td></tr><tr><td>Title:</td><td>moral priority or skill priority: a comparative analysis of key competencies frameworks in china and the united states</td></tr><tr><td>Source:</td><td>comparative education, 57(1), 83-98</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1080/03050068.2020.1845063	-0.2965	-0.0372	5	2	3	2.1111	2021	3	2.1111
13	tiana (2011)	"<table><tr><td>Authors:</td><td>tiana, alejandro; moya, jose; luengo, florencio</td></tr><tr><td>Title:</td><td>implementing key competences in basic education: reflections on curriculum design and development in spain</td></tr><tr><td>Source:</td><td>european journal of education, 46(3), 307-322</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1111/j.1465-3435.2011.01482.x	-0.3357	0.1642	1	5	29	0.8078	2011	29	0.8078
14	garcia lopez (2020)	"<table><tr><td>Authors:</td><td>garcia lopez, luis miguel; gutierrez, david; garcia fernandez, beatriz; lupiediez gomez, jose luis; romo-perez, vicente; eirin nemina, raid; mateos jimenez, antonio</td></tr><tr><td>Title:</td><td>2007-2017: a decade of key competences in spain</td></tr><tr><td>Source:</td><td>profesorado-revista de curriculum y formacion de profesorado, 24(3), 381-399</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.30827/profesorado.v24i3.8236	-0.3665	0.0868	1	5	1	0.2429	2020	1	0.2429
15	alm (2022)	"<table><tr><td>Authors:</td><td>alm, karin; beery, thomas h.; eiblmeier, david; fahmy, tarek</td></tr><tr><td>Title:</td><td>students' learning sustainability - implicit, explicit or non-existent: a case study approach on students' key competencies addressing the sdgs in hei program</td></tr><tr><td>Source:</td><td>international journal of sustainability in higher education, 23(8), 60-84</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1108/ijshe-12-2020-0484	1.0477	0.0031	2	1	1	3.1111	2022	1	3.1111
